RK,Player,Team,W,L,ERA,G,GS,SV,SVO,IP,H,R,ER,HR,BB,SO,AVG,WHIP,CG,SHO,HB,IBB,GF,HLD,GIDP,GO,AO,WP,BK,SB,CS,PK,TBF,NP,WPCT,GO_AO,OBP,SLG,OPS,K_9,BB_9,H_9,K_BB,P_IP
68," McCutchen, D",CWS,0,0,7.71,1,0,0,0,2.1,4,3,2,1,2,0,0.333,2.57,0,0,0,0,0,0,1,4,4,0,0,0,0,0,14,49,.---,1,0.429,0.667,1.095,0,7.71,15.43,0,21
68," Mills, B",OAK,1,1,9.15,5,3,0,0,20.2,29,22,21,5,11,19,0.333,1.94,0,0,2,0,1,0,1,17,23,1,0,1,1,0,101,413,0.5,0.74,0.416,0.575,0.991,8.27,4.79,12.63,1.73,19.98
68," Rodriguez, H",CWS,0,0,10.8,2,0,0,0,1.2,2,2,2,0,5,1,0.333,4.2,0,0,0,0,0,0,0,1,2,0,0,2,1,0,11,57,.---,0.5,0.636,0.5,1.136,5.4,27,10.8,0.2,34.2
68," Roe, C",PIT,0,0,9,3,0,0,0,2,3,3,2,0,3,4,0.333,3,0,0,0,0,2,0,0,1,2,1,0,0,0,0,13,46,.---,0.5,0.462,0.778,1.239,18,13.5,13.5,1.33,23
68," Rosin, S",PHI,1,0,6.75,3,0,0,0,4,6,3,3,0,1,3,0.333,1.75,0,0,0,0,2,0,0,5,4,0,0,0,0,0,19,71,1,1.25,0.368,0.444,0.813,6.75,2.25,13.5,3,17.75
68," Wieland, J",SD,1,0,7.15,4,2,0,0,11.1,16,9,9,3,5,8,0.333,1.85,0,0,0,0,0,0,1,11,14,0,1,0,0,0,54,215,1,0.79,0.389,0.604,0.993,6.35,3.97,12.71,1.6,18.97
78," Schlosser, G",ATL,0,1,7.64,15,0,0,1,17.2,23,16,15,2,6,8,0.329,1.64,0,0,1,1,8,0,2,20,23,3,0,3,0,0,81,304,0,0.87,0.38,0.514,0.894,4.08,3.06,11.72,1.33,17.21
79," Fujikawa, K",CHC,0,0,4.85,15,0,0,0,13,18,8,7,2,6,17,0.327,1.85,0,0,2,2,6,0,4,12,9,2,0,0,0,0,64,234,.---,1.33,0.406,0.436,0.843,11.77,4.15,12.46,2.83,18
80," Penny, B",MIA,2,1,6.58,8,4,0,0,26,34,20,19,3,13,13,0.327,1.81,0,0,1,0,1,0,5,37,22,2,0,5,0,0,120,448,0.667,1.68,0.407,0.529,0.936,4.5,4.5,11.77,1,17.23
81," Coleman, C",KC,1,0,5.25,10,0,0,0,12,16,8,7,0,6,5,0.327,1.83,0,0,0,0,4,0,2,19,9,0,0,0,1,0,55,231,1,2.11,0.4,0.388,0.788,3.75,4.5,12,0.83,19.25
82," Santos, S",TOR,0,3,8.57,26,0,5,8,21,28,22,20,5,18,29,0.326,2.19,0,0,0,2,14,0,3,17,14,4,0,6,0,0,106,412,0,1.21,0.434,0.628,1.062,12.43,7.71,12,1.61,19.62
83," Rodriguez, W",PIT,0,2,6.75,6,6,0,0,26.2,37,25,20,10,8,20,0.325,1.69,0,0,0,1,0,0,2,33,27,0,1,2,0,0,125,457,0,1.22,0.366,0.693,1.059,6.75,2.7,12.49,2.5,17.14
84," Bell, H",NYY,1,1,7.27,13,0,0,0,17.1,24,16,14,1,8,12,0.324,1.85,0,0,4,1,5,0,1,31,9,1,0,2,1,0,88,352,0.5,3.44,0.414,0.446,0.86,6.23,4.15,12.46,1.5,20.31
85," Turner, J",CHC,6,11,6.13,28,18,0,0,113,148,81,77,12,33,71,0.324,1.6,0,0,1,2,4,1,14,142,106,6,1,17,3,1,501,1819,0.353,1.34,0.368,0.477,0.845,5.65,2.63,11.79,2.15,16.1
86," Herrera, Y",LAA,1,1,2.7,20,0,0,0,16.2,22,5,5,0,9,13,0.324,1.86,0,0,0,3,8,1,3,17,16,0,0,2,0,0,77,313,0.5,1.06,0.403,0.426,0.829,7.02,4.86,11.88,1.44,18.78
87," Scheppers, T",TEX,0,1,9,8,4,0,0,23,31,24,23,6,10,17,0.32,1.78,0,0,3,0,0,1,3,30,20,2,0,1,0,0,111,416,0,1.5,0.396,0.526,0.922,6.65,3.91,12.13,1.7,18.09
88," Smith, C",DET,0,0,5.4,10,0,0,0,11.2,15,7,7,1,3,9,0.319,1.54,0,0,0,0,5,0,1,11,12,0,0,0,0,0,50,196,.---,0.92,0.36,0.511,0.871,6.94,2.31,11.57,3,16.8
89," Ross Jr., R",TEX,3,6,6.2,27,12,0,0,78.1,103,65,54,9,30,51,0.319,1.7,0,0,7,2,4,2,12,108,65,6,0,2,2,0,365,1355,0.333,1.66,0.387,0.464,0.851,5.86,3.45,11.83,1.7,17.3
90," Breslow, C",BOS,2,4,5.96,60,0,1,2,54.1,73,40,36,8,28,37,0.319,1.86,0,0,2,1,16,2,7,49,71,3,1,1,0,0,260,977,0.333,0.69,0.398,0.489,0.887,6.13,4.64,12.09,1.32,17.98
