RK,Player,Team,Pos,G,GS,INN,TC,PO,A,E,DP,SB,CS,SBPCT,PB,C_WP,FPCT¡¿,RF
1," Eveland, D",BAL,P,14,2,32.1,8,6,2,0,0,-,-,-,-,-,1,0.57
1," Exposito, L",BAL,C,9,6,57,46,43,3,0,0,1,1,0.5,1,1,1,5.11
1," Familia, J",NYM,P,8,1,12.1,3,0,3,0,0,-,-,-,-,-,1,0.38
1," Farnsworth, K",TB,P,34,0,27,5,1,4,0,0,-,-,-,-,-,1,0.15
1," Farris, E",MIL,2B,3,0,4,1,1,0,0,0,-,-,-,-,-,1,0.33
1," Federowicz, T",LAD,C,2,1,10,13,13,0,0,0,0,1,0,0,0,1,6.5
1," Feldman, S",TEX,P,29,21,123.2,20,6,14,0,0,-,-,-,-,-,1,0.69
1," Feliz, N",TEX,P,8,7,42.2,4,0,4,0,0,-,-,-,-,-,1,0.5
1," Fick, C",HOU,P,20,0,24.2,8,2,6,0,1,-,-,-,-,-,1,0.4
1," Field, T",COL,SS,1,0,4.2,1,1,0,0,0,-,-,-,-,-,1,1
1," Fien, C",MIN,P,35,0,35,3,1,2,0,0,-,-,-,-,-,1,0.09
1," Fife, S",LAD,P,5,5,26.2,7,3,4,0,0,-,-,-,-,-,1,1.4
1," Figueroa, P",OAK,P,19,0,21.2,1,1,0,0,0,-,-,-,-,-,1,0.05
1," Ford, L",BAL,LF,26,12,105,29,27,2,0,0,-,-,-,-,-,1,1.12
1," Francis, J",COL,P,24,24,113,28,5,23,0,1,-,-,-,-,-,1,1.17
1," Francisco, F",NYM,P,48,0,42.1,4,0,4,0,0,-,-,-,-,-,1,0.08
1," Frieri, E",LAA,P,67,0,66,5,1,4,0,1,-,-,-,-,-,1,0.07
1," Fuentes, B",STL,P,32,0,30,3,1,2,0,0,-,-,-,-,-,1,0.09
1," Fukudome, K",NYY,RF,16,11,97,22,22,0,0,0,-,-,-,-,-,1,1.38
1," Galarraga, A",HOU,P,5,5,24,1,1,0,0,0,-,-,-,-,-,1,0.2
1," Garcia, A",DET,RF,22,11,121.1,24,23,1,0,1,-,-,-,-,-,1,1.09
1," Garcia, C",WSH,P,13,0,12.2,1,0,1,0,0,-,-,-,-,-,1,0.08
1," Garcia, F",NYY,P,30,17,107.1,15,8,7,0,0,-,-,-,-,-,1,0.5
1," Gardner, B",NYY,LF,15,8,85.1,15,14,1,0,0,-,-,-,-,-,1,1
1," Gaudin, C",MIA,P,46,0,69.1,21,7,14,0,0,-,-,-,-,-,1,0.46
1," Gearrin, C",ATL,P,22,0,20,4,1,3,0,0,-,-,-,-,-,1,0.18
1," Gentry, C",TEX,CF,119,66,655,197,190,7,0,2,-,-,-,-,-,1,1.66
1," Germano, J",CHC,P,14,12,69.2,19,5,14,0,2,-,-,-,-,-,1,1.36
1," Giambi, J",COL,1B,19,12,89.2,89,86,3,0,7,-,-,-,-,-,1,4.68
1," Gimenez, H",CWS,C,5,1,15.2,17,17,0,0,0,0,0,-,0,0,1,3.4
