RK,Player,Team,Pos,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG¡¿,OBP,SLG,OPS
163," Johnson, K",ATL,2B,150,547,86,157,39,6,12,69,52,113,11,6,0.287,0.349,0.446,0.795
164," Blalock, H",TEX,1B,65,258,37,74,19,1,12,38,19,40,1,0,0.287,0.338,0.508,0.846
164," Redmond, M",MIN,C,38,129,14,37,6,0,0,12,5,11,0,0,0.287,0.321,0.333,0.655
166," Sweeney, R",OAK,CF,115,384,53,110,18,2,5,45,38,67,9,1,0.286,0.35,0.383,0.733
167," Atkins, G",COL,3B,155,611,86,175,32,3,21,99,40,100,1,1,0.286,0.328,0.452,0.78
168," Bartlett, J",TB,SS,128,454,48,130,25,3,1,37,22,69,20,6,0.286,0.329,0.361,0.69
169," Bay, J",BOS,LF,155,577,111,165,35,4,31,101,81,137,10,0,0.286,0.373,0.522,0.895
170," Cintron, A",BAL,SS,61,133,12,38,5,1,1,10,7,15,0,2,0.286,0.321,0.361,0.682
170," Getz, C",CWS,2B,10,7,2,2,0,0,0,1,0,1,1,1,0.286,0.286,0.286,0.571
170," Greinke, Z",KC,P,3,7,0,2,1,0,0,0,0,1,0,0,0.286,0.286,0.429,0.714
170," Guillen, C",DET,LF,113,420,68,120,29,2,10,54,60,67,9,3,0.286,0.376,0.436,0.811
170," Ka'aihue, K",KC,1B,12,21,4,6,0,0,1,1,3,2,0,0,0.286,0.375,0.429,0.804
170," Maier, M",KC,CF,34,91,9,26,1,1,0,9,2,18,0,2,0.286,0.316,0.319,0.634
170," Morris, M",PIT,P,5,7,0,2,1,0,0,1,0,4,0,0,0.286,0.286,0.429,0.714
170," Nelson, B",MIL,1B,9,7,0,2,2,0,0,0,1,0,0,0,0.286,0.375,0.571,0.946
170," Pena, B",KC,C,14,14,3,4,1,0,0,0,1,2,0,0,0.286,0.333,0.357,0.69
170," Sweeney, M",OAK,1B,42,126,13,36,8,0,2,12,7,6,0,0,0.286,0.331,0.397,0.728
170," Whitesell, J",ARI,1B,7,7,1,2,0,0,1,1,1,2,0,0,0.286,0.444,0.714,1.159
181," Soto, G",CHC,C,141,494,66,141,35,2,23,86,62,121,0,1,0.285,0.364,0.504,0.868
182," DeRosa, M",CHC,2B,149,505,103,144,30,3,21,87,69,106,6,0,0.285,0.376,0.481,0.857
183," Wigginton, T",HOU,3B,111,386,50,110,22,1,23,58,32,69,4,6,0.285,0.35,0.526,0.876
184," Braun, R",MIL,LF,151,611,92,174,39,7,37,106,42,129,14,4,0.285,0.335,0.553,0.888
185," Davis, C",TEX,1B,80,295,51,84,23,2,17,55,20,88,1,2,0.285,0.331,0.549,0.88
186," Mora, M",BAL,3B,135,513,77,146,29,2,23,104,37,70,3,7,0.285,0.342,0.483,0.826
187," Thomas, C",DET,CF,40,116,7,33,9,1,1,9,14,26,2,0,0.284,0.366,0.405,0.772
188," Punto, N",MIN,SS,99,338,43,96,19,4,2,28,32,57,15,6,0.284,0.344,0.382,0.726
189," Salazar, O",BAL,1B,34,81,13,23,3,0,5,15,12,13,0,1,0.284,0.372,0.506,0.879
190," Beltran, C",NYM,CF,161,606,116,172,40,5,27,112,92,96,25,3,0.284,0.376,0.5,0.876
191," Young, M",TEX,1B,155,645,102,183,36,2,12,82,55,109,10,0,0.284,0.339,0.402,0.741
192," Burriss, E",SF,2B,95,240,37,68,6,1,1,18,23,24,13,5,0.283,0.357,0.329,0.686
